27,.exe,N/A,program,0,16777215,N/A,N/A,cmd,[],Desktop,0,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cmd.exe,N/A,Command Prompt for vctl
28,.exe,N/A,program,0,16777215,N/A,N/A,javacpl,[],Desktop,0,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Java\jre1.8.0_301\bin\javacpl.exe,N/A,Check For Updates
29,.msc,N/A,program,0,16777215,N/A,N/A,compmgmt,[],Desktop,0,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\compmgmt.msc,N/A,컴퓨터 관리
30,.exe,N/A,program,0,16777215,N/A,N/A,javacpl,[],Desktop,0,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Java\jre1.8.0_301\bin\javacpl.exe,N/A,About Java
31,.exe,N/A,program,0,16777215,N/A,N/A,perfmon,[],Desktop,0,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\perfmon.exe,N/A,리소스 모니터
32,.exe,N/A,program,0,16777215,N/A,N/A,Installer,[],Desktop,0,C:\Users\swan4\AppData\Roaming\Zoom\uninstall\Installer.exe,N/A,Uninstall Zoom
33,.exe,N/A,program,0,16777215,N/A,N/A,mysql,[],Desktop,0,{6D809377-6AF0-444B-8957-A3773F02200E}\MySQL\MySQL Server 8.0\bin\mysql.exe,N/A,MySQL 8.0 Command Line Client - Unicode
34,.exe,N/A,program,0,16777215,N/A,N/A,git-cmd,[],Desktop,0,{6D809377-6AF0-444B-8957-A3773F02200E}\Git\git-cmd.exe,N/A,Git CMD (Deprecated)
35,.msc,N/A,program,0,16777215,N/A,N/A,perfmon,[],Desktop,0,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\perfmon.msc,N/A,성능 모니터
36,.exe,N/A,program,0,16777215,N/A,N/A,sapisvr,[],Desktop,0,{F38BF404-1D43-42F2-9305-67DE0B28FC23}\Speech\Common\sapisvr.exe,N/A,Windows Speech Recognition
37,.exe,N/A,program,0,16777215,N/A,N/A,hh,[],Desktop,0,{F38BF404-1D43-42F2-9305-67DE0B28FC23}\hh.exe,N/A,Python 3.9 Manuals (64-bit)
