CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2021-08-08 15:48:29.1697493,C:\Windows\appcompat\Programs\Install\INSTALL_025b_3956288b-d445-4e8e-ab64-4399ed51abca.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_025b_3956288b-d445-4e8e-ab64-4399ed51abca.txt,9816,2BF2DC30EC017C0C28B086723F099C1444C93111,False,2021-07-20 17:08:55.8898261,2021-07-20 17:08:55.8898261,2021-07-20 17:08:55.8898261,00:00:00.0036062
2021-08-08 15:48:29.1812494,C:\Windows\appcompat\Programs\Install\INSTALL_0513_0776de5e-a993-4003-b0fa-88051d7c997c.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_0513_0776de5e-a993-4003-b0fa-88051d7c997c.txt,14742,305526551498434AA575DFC6A8BE6124FD4F8359,False,2021-07-30 03:09:53.3802531,2021-07-30 03:09:53.3807121,2021-07-30 03:09:53.3807121,00:00:00.0042203
2021-08-08 15:48:29.1906494,C:\Windows\appcompat\Programs\Install\INSTALL_0708_25aca666-f002-4584-a021-6f5db52103f6.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_0708_25aca666-f002-4584-a021-6f5db52103f6.txt,2830,22E0341B0D65B6946C70FE774AD847B384A343D6,False,2021-07-27 17:50:31.9681651,2021-07-27 17:50:31.9685212,2021-07-27 17:50:31.9685212,00:00:00.0028931
2021-08-08 15:48:29.2037880,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_006337b9-9b3d-4903-8628-fe99edbc1673.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_ffff_006337b9-9b3d-4903-8628-fe99edbc1673.txt,18060,FA5E05BE2B7935565B6DCA62248A80F53116CAD2,False,2021-07-15 16:35:27.0899971,2021-07-15 16:35:27.0904970,2021-07-15 16:35:27.0904970,00:00:00
2021-08-08 15:48:29.2145617,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_0776de5e-a993-4003-b0fa-88051d7c997c.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_ffff_0776de5e-a993-4003-b0fa-88051d7c997c.txt,14714,DA1E5575D8A80C54A157F7E758C9CA4BF9D2451D,False,2021-07-31 15:40:14.1154515,2021-07-31 15:40:14.1154515,2021-07-31 15:40:14.1154515,00:00:00.0054599
2021-08-08 15:48:29.2253915,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_25aca666-f002-4584-a021-6f5db52103f6.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_ffff_25aca666-f002-4584-a021-6f5db52103f6.txt,2802,19A4941EF99F9CB493823113F4BCB3C4C5AB11DB,False,2021-07-31 15:40:14.0998227,2021-07-31 15:40:14.0998227,2021-07-31 15:40:14.0998227,00:00:00.0067177
2021-08-08 15:48:29.2361720,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_3956288b-d445-4e8e-ab64-4399ed51abca.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_ffff_3956288b-d445-4e8e-ab64-4399ed51abca.txt,9788,F08F3050D8CA1ED967C7559817389D2940DD84F6,False,2021-07-21 01:52:40.6052970,2021-07-21 01:52:40.6052970,2021-07-21 01:52:40.6052970,00:00:00.0052159
2021-08-08 15:48:29.2499454,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_4c0c47aa-657a-4f41-b921-561f8b287e1a.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_ffff_4c0c47aa-657a-4f41-b921-561f8b287e1a.txt,145526,B03A47DF61A6798C8F3D54BB9ACAA3F07C6E1B3F,False,2021-08-04 10:32:07.4579461,2021-08-04 10:32:07.4579461,2021-08-04 10:32:07.4579461,00:00:00.0095619
2021-08-08 15:48:29.2599300,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_5ff0d491-8808-4bea-9ed4-9d83cdf19544.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_ffff_5ff0d491-8808-4bea-9ed4-9d83cdf19544.txt,2924,00E56A1A37C8095CEFDF27EB1426B7D0AA072EB1,False,2021-07-24 04:35:53.8185447,2021-07-24 04:35:53.8185447,2021-07-24 04:35:53.8185447,00:00:00.0024381
2021-08-08 15:48:29.2715100,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_7060b329-0b9a-4737-9841-5560620d930f.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_ffff_7060b329-0b9a-4737-9841-5560620d930f.txt,5328,F4402C1DBBA92FCE96A2855C10D34141295886AD,False,2021-08-08 05:06:20.0142922,2021-08-08 05:06:20.0152892,2021-08-08 05:06:20.0152892,00:00:00.0036008
2021-08-08 15:48:29.2840552,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_7bb72934-3063-47bf-baea-33aff5bd5b47.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_ffff_7bb72934-3063-47bf-baea-33aff5bd5b47.txt,9788,F177F41805916CB16EE3FC39782BFC6CDD9407A9,False,2021-07-20 18:27:53.7226553,2021-07-20 18:27:53.7226553,2021-07-20 18:27:53.7226553,00:00:00.0012357
2021-08-08 15:48:29.2916069,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_a1886cb0-b585-42fc-b021-918b9561a6e5.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_ffff_a1886cb0-b585-42fc-b021-918b9561a6e5.txt,1672,545E3170B6F520E18984CF48D200F704B49D0E40,False,2021-07-20 12:41:36.5547787,2021-07-20 12:41:36.5547787,2021-07-20 12:41:36.5547787,00:00:00.0024014
2021-08-08 15:48:29.3043791,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_cbb1ddd9-14cf-4817-9d46-defe329799f7.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_ffff_cbb1ddd9-14cf-4817-9d46-defe329799f7.txt,15876,2954ED69731782D58E9BF6CAB360283A54B9C946,False,2021-08-06 12:32:05.0260669,2021-08-06 12:32:05.0260669,2021-08-06 12:32:05.0260669,00:00:00.0050238
2021-08-08 15:48:29.3149316,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_f6c6074e-2f86-4ce2-864e-4046751cf4f6.txt,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\appcompat\Programs\Install\INSTALL_ffff_f6c6074e-2f86-4ce2-864e-4046751cf4f6.txt,26486,0FB3DC7E114DBB7C5F648C3B433FEB896EAD6179,False,2021-08-08 06:06:25.2924148,2021-08-08 06:06:25.2926022,2021-08-08 06:06:25.2926022,00:00:00.0059994
2021-08-08 15:48:29.3873653,C:\Windows\INF\setupapi.dev.log,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\INF\setupapi.dev.log,3579236,CCFF3CED0C62D21904195BF46D78F43F2021527A,False,2021-06-24 05:44:48.4908313,2021-08-08 05:13:57.1052644,2021-08-08 05:13:57.1052644,00:00:00.0375300
2021-08-08 15:48:29.4615050,C:\Windows\INF\setupapi.dev.20210531_095351.log,F:\BoB10th\트랙교육\박정흠 멘토님\kape\C\Windows\INF\setupapi.dev.20210531_095351.log,4264709,793D340E3E346877BC7415BF4F33D8E85A319391,False,2021-05-29 05:12:51.0625096,2021-05-31 00:53:51.8791488,2021-05-31 00:53:51.8791488,00:00:00.0388115
