3,C:\Program Files\Android\Android Studio\bin\fsnotifier64.exe
3,C:\Program Files\Android\Android Studio\bin\jumplistbridge.dll
3,C:\Program Files\Android\Android Studio\bin\fsnotifier.exe
3,C:\Program Files\Android\Android Studio\bin\profiler.exe
3,C:\Program Files\Android\Android Studio\bin\launcher.exe
3,C:\Program Files\Android\Android Studio\bin\restarter.exe
3,C:\Program Files\Android\Android Studio\bin\jumplistbridge64.dll
3,C:\Program Files\Android\Android Studio\bin\runnerw.exe
3,C:\Program Files\Android\Android Studio\bin\studio64.exe
3,C:\Program Files\Android\Android Studio\jre\bin\awt.dll
3,C:\Program Files\Android\Android Studio\jre\bin\attach.dll
3,C:\Program Files\Android\Android Studio\jre\bin\dt_shmem.dll
3,C:\Program Files\Android\Android Studio\bin\studio.exe
3,C:\Program Files\Android\Android Studio\jre\bin\dt_socket.dll
3,C:\Program Files\Android\Android Studio\jre\bin\instrument.dll
3,C:\Program Files\Android\Android Studio\jre\bin\freetype.dll
3,C:\Program Files\Android\Android Studio\jre\bin\fontmanager.dll
3,C:\Program Files\Android\Android Studio\jre\bin\j2gss.dll
3,C:\Program Files\Android\Android Studio\jre\bin\jaas.dll
3,C:\Program Files\Android\Android Studio\jre\bin\jabswitch.exe
3,C:\Program Files\Android\Android Studio\jre\bin\j2pcsc.dll
3,C:\Program Files\Android\Android Studio\jre\bin\j2pkcs11.dll
3,C:\Program Files\Android\Android Studio\jre\bin\jaotc.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jaccesswalker.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jaccessinspector.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jar.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jarsigner.exe
3,C:\Program Files\Android\Android Studio\jre\bin\javaaccessbridge.dll
3,C:\Program Files\Android\Android Studio\jre\bin\java.exe
3,C:\Program Files\Android\Android Studio\jre\bin\javac.exe
3,C:\Program Files\Android\Android Studio\jre\bin\java.dll
3,C:\Program Files\Android\Android Studio\jre\bin\javajpeg.dll
3,C:\Program Files\Android\Android Studio\jre\bin\javadoc.exe
3,C:\Program Files\Android\Android Studio\jre\bin\javap.exe
3,C:\Program Files\Android\Android Studio\jre\bin\javaw.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jdeps.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jawt.dll
3,C:\Program Files\Android\Android Studio\jre\bin\jdwp.dll
3,C:\Program Files\Android\Android Studio\jre\bin\jfr.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jhsdb.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jdeprscan.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jimage.dll
3,C:\Program Files\Android\Android Studio\jre\bin\jimage.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jdb.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jli.dll
3,C:\Program Files\Android\Android Studio\jre\bin\jjs.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jlink.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jmod.exe
3,C:\Program Files\Android\Android Studio\jre\bin\jsound.dll
3,C:\Program Files\Android\Android Studio\jre\bin\jrunscript.exe
3,C:\Program Files\Android\Android Studio\jre\bin\keytool.exe
3,C:\Program Files\Android\Android Studio\jre\bin\klist.exe
3,C:\Program Files\Android\Android Studio\jre\bin\kinit.exe
3,C:\Program Files\Android\Android Studio\jre\bin\ktab.exe
3,C:\Program Files\Android\Android Studio\jre\bin\lcms.dll
3,C:\Program Files\Android\Android Studio\jre\bin\management_ext.dll
3,C:\Program Files\Android\Android Studio\jre\bin\management.dll
3,C:\Program Files\Android\Android Studio\jre\bin\le.dll
3,C:\Program Files\Android\Android Studio\jre\bin\msvcp140.dll
